CategoryID,TimeID,SampleID,RegionID,Bundle_No,T0,T2,T3,T4,T5,T7,Orientation_AP,Orientation_DV,imgX_pixel,imgX_um,imgY_pixel,imgY_um,is_Crowded,is_Edge,is_Heel_Issues,is_Irregular,is_Mirror_Symmetry,is_Weak_FasII,is_symFate,coord_X_R1,coord_Y_R1,coord_X_T0,coord_Y_T0,coord_X_R2,coord_Y_R2,coord_X_T2,coord_Y_T2,coord_X_R3,coord_Y_R3,coord_X_T3,coord_Y_T3,coord_X_R4,coord_Y_R4,coord_X_T4,coord_Y_T4,coord_X_R5,coord_Y_R5,coord_X_T5,coord_Y_T5,coord_X_R6,coord_Y_R6,coord_X_T7,coord_Y_T7,symmetry,aT7cT4,aT3cT4,aT3cT7,aT2cT4,aT5cT4,aT2cT5
Fz,28,38,1,5,25,26,27,44,45,68,A,L,1255,108.14,927,79.88,0,0,0,1,0,0,0,-0.696457901,0.761659473,-1.369511355,0.130020104,0.367204172,0.777386069,1.788702826,2.053419585,2.086779607,0.523409387,11.97872576,3.004523084,2.23227753,-0.223736317,8.686902538,0.457327899,1.075577644,-0.835607617,3.741690473,-1.989594195,-0.386757119,-1.004045483,13.873882,-1.39054899,0.222212612,0.192200876,0.247112358,0.439313234,0.801590902,0.541310584,1.342901486
Fz,28,38,1,6,26,70,43,27,44,46,A,L,1255,108.14,927,79.88,0,1,0,1,0,0,0,0.024359069,0.917876304,-1.369023643,0.385968097,1.506773282,1.096865347,3.791506452,2.223367847,2.158204533,0.379846524,12.4021803,2.18279825,2.367739491,-0.395013009,8.822855062,0.236355221,1.423932085,-0.920048603,5.246156936,-2.166646314,-0.320661608,-0.54331801,14.03471922,-2.341430168,0.22425284,0.221117767,0.17153148,0.392649246,0.503582497,0.418442677,0.922025174
Fz,28,38,1,7,45,44,46,68,67,69,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-0.43035922,0.793841436,-2.018308654,-0.135361526,1.043172061,1.087778828,2.938737867,2.298617579,2.055906071,0.532286458,11.73263468,3.037649746,1.991698103,-0.211383666,8.114147158,0.416346125,0.811927648,-1.136097871,2.648412736,-1.956361435,-0.887927145,-0.998350076,11.36108642,-1.205779178,0.234440185,0.196946796,0.257258534,0.45420533,0.612513138,0.687490832,1.300003969
Fz,28,38,1,8,44,27,28,46,68,73,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-1.714218093,0.10633884,-2.17990446,-0.510378189,-0.3434217,0.653207055,1.078275693,2.047125471,1.682983664,0.523216178,9.402182909,2.923007697,1.555112057,-0.195458146,6.607365442,0.371376186,0.110561771,-1.156971452,3.036635596,-2.268716587,-1.590041007,-1.480023287,10.43933471,-1.312093875,0.273956146,0.230125148,0.316957642,0.547082789,1.02984934,0.697799592,1.727648931
Fz,28,38,1,9,27,43,29,28,46,74,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-1.025845748,0.860227097,-1.523527596,0.233357187,0.504768851,0.885456205,2.036281736,2.200019328,1.897179877,0.486344176,10.75631627,2.757393664,2.124993349,-0.303500722,6.810656171,0.195347027,0.696758358,-0.926845775,3.716568799,-2.273617536,-0.602420775,-0.651277698,11.91051527,-1.701111198,0.239289558,0.197957673,0.260227364,0.458185037,0.795355315,0.57769042,1.373045735
Fz,28,38,1,10,28,29,77,75,74,81,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-0.929874637,0.754698579,-2.16515843,-0.040030096,0.486859946,0.810021287,1.939715255,2.383736112,1.599429768,0.46733459,11.84776187,3.461776848,1.563334444,-0.304367648,8.714977508,0.156067656,0.34447801,-0.865001026,2.787815161,-2.345831316,-0.962559032,-0.966727249,11.24926068,-2.190133424,0.215691639,0.233631346,0.297882004,0.53151335,0.869833844,0.717420519,1.587254363
Fz,28,38,1,11,29,72,79,77,75,80,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,-0.48241969,0.798775261,-2.681932237,0.184409368,0.813649899,0.789090481,2.747188752,2.523284541,1.776816525,0.428169595,12.75028428,3.072508601,2.042674733,-0.49903639,7.275144275,0.033614622,0.766228222,-1.496397703,3.722746796,-3.070722962,-0.908471666,-1.368338294,11.59136225,-2.83183195,0.048504318,0.25464576,0.242294341,0.496940102,0.738320499,0.694333668,1.432654167
Fz,28,38,1,12,30,36,52,37,50,53,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-0.742974885,0.700499657,-1.787990392,-0.414143287,1.125377054,0.868257461,3.681772143,2.368213481,2.524412484,0.60676135,13.18752697,3.169720368,2.688576719,-0.26794833,7.604007717,0.277647845,0.685602101,-1.119027087,2.561853643,-1.955929718,-0.869257972,-1.157716218,12.9516073,-1.290780182,0.324759583,0.162519818,0.240684376,0.403204194,0.535101657,0.688571184,1.223672841
Fz,28,38,1,13,36,40,54,52,37,51,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-1.225428072,1.057773115,-2.397561609,0.182423047,0.619367073,1.049581595,2.811772762,2.349910168,1.768421852,0.404049495,11.73673924,2.681613304,1.455619078,-0.268735472,7.120468125,0.135786237,-0.422337972,-0.868389298,1.28379463,-2.42373865,-1.960484516,-0.785311828,11.57908425,-2.137723201,0.0263836,0.225262087,0.231366365,0.456628452,0.677089221,1.102758768,1.779847988
Fz,28,38,1,14,37,52,55,51,53,56,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,-1.310946898,1.410854079,-2.746019699,0.108826987,0.356338267,1.079224019,3.160116528,2.551870086,1.667989658,0.391430233,12.30361251,2.887311616,1.34455858,-0.226810642,7.548424196,0.113929506,-0.286298564,-0.839811401,2.335064964,-2.25689618,-2.147835153,-0.81355781,11.33793034,-1.912570637,0.158290163,0.200421743,0.23811263,0.438534374,0.664219961,0.78346885,1.447688811
Fz,28,38,1,15,41,63,58,42,40,54,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-1.626927777,0.69956435,-2.258152404,-0.114219068,0.311415607,0.842867561,2.071092418,1.963534331,1.650493047,0.380820223,10.6098129,2.448014748,1.662926998,-0.339460703,6.648538156,0.106458574,-0.12992301,-1.050101828,1.982813691,-2.376214264,-2.203931257,-1.0016805,10.90962684,-2.227030772,0.023765107,0.239668269,0.233972527,0.473640795,0.742734771,0.891414896,1.634149667
Fz,28,38,1,16,42,58,60,57,54,59,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,-1.053647356,0.782211314,-1.821722435,0.028261889,0.806203743,0.963751033,2.132817119,2.376700455,2.520719834,0.572858224,12.20278832,2.773202933,2.608935484,-0.362620067,7.516568014,0.123325931,0.878219107,-0.863531382,2.446437034,-2.288985622,-1.488671574,-1.19555813,12.14266095,-1.687727641,0.25701598,0.171110009,0.230301063,0.401411072,0.8230217,0.768566443,1.591588143
Fz,28,38,1,17,40,42,57,54,52,55,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,-0.911737019,0.474134644,-1.940289319,-0.416830153,0.959478618,0.72397925,2.595068177,2.208060345,2.031890937,0.465870883,11.92709023,2.73463696,2.01558858,-0.283859253,6.976394359,0.16692061,0.279201599,-1.148914004,2.437303472,-2.459310077,-1.449713798,-1.246874991,11.55623749,-1.627487363,0.192564034,0.186918242,0.231496056,0.418414298,0.681075816,0.813814306,1.494890122
Fz,28,38,1,18,43,33,72,29,28,75,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,-0.995552979,0.39920525,-1.418168452,-0.492878806,0.530051164,0.770146264,2.523392177,2.145620662,2.240016309,0.609377758,12.13469609,3.301142885,2.354518094,-0.213380062,7.29314181,0.241344574,1.265693263,-0.990599845,3.404407861,-2.36049678,-0.238078743,-1.221698836,14.2517394,-1.291575141,0.472376412,0.146068023,0.276841344,0.422909367,0.671583753,0.639338874,1.310922627
Fz,28,38,1,19,46,28,75,74,73,76,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-0.589861075,0.666485466,-1.278975466,-0.224947102,0.797264322,0.766692229,1.872800307,2.215475214,2.142568674,0.476011236,12.7454522,2.831637806,2.277059421,-0.30621244,6.921445592,0.168916773,1.313394226,-1.002184009,2.224323207,-2.658259903,-0.327688179,-0.952639091,12.72683022,-1.711467735,0.19184715,0.180736993,0.223642091,0.404379084,0.844621634,0.898439677,1.743061311
Fz,28,38,1,20,31,62,65,32,61,63,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,1.19239184,0.663927607,-0.058193205,-0.113840672,2.402869243,0.727463726,4.889563377,2.04631191,3.644987838,0.672657477,13.56927084,2.50411576,3.743180905,-0.235374886,8.709969965,0.292363268,2.664419252,-1.075319083,5.152197286,-1.81387467,0.893837722,-1.3898412,13.78006676,-0.86650411,0.357160615,0.114387542,0.177941092,0.292328634,0.362803481,0.372061372,0.734864854
Fz,28,38,1,21,32,65,66,64,63,58,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,1.152965474,0.788946007,-0.602028953,-0.122892183,2.47575423,0.822996253,4.50855876,1.641608422,3.785400591,0.421760386,13.07287071,1.456548354,3.547898983,-0.492133909,8.820542867,0.11127374,1.995800993,-0.923959733,4.249021426,-2.04157346,0.248623182,-0.903635865,12.7946975,-1.77476995,0.343730501,0.163857187,0.107534474,0.271391662,0.336574067,0.460525341,0.797099408
Fz,28,38,1,22,33,71,78,72,29,77,A,L,1255,108.14,927,79.88,0,1,0,0,0,0,0,-0.971838639,0.524892632,-1.848004512,-0.056962262,0.441458144,0.771858344,1.478143064,2.356856032,2.060338346,0.568379999,12.10239941,3.338656382,1.927464927,-0.272060765,7.81469839,0.114081203,0.145712402,-1.08291831,2.653622564,-2.634545947,-1.365293089,-1.052166278,12.58166895,-1.775896639,0.393643108,0.170110017,0.280544378,0.450654395,0.996042763,0.796388014,1.792430777
Fz,28,38,1,38,39,41,42,40,36,52,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-1.429897118,0.490258775,-2.253685029,-0.293220336,0.297328269,0.578763384,2.925170251,1.995698178,1.986312084,0.493919094,11.79754529,2.933593834,1.890563529,-0.258342795,7.356153189,0.224339809,-0.286212073,-1.024590305,2.293179894,-2.163319758,-1.753554857,-1.064676862,11.80977142,-1.61378833,0.227156834,0.194353898,0.251479092,0.44583299,0.568226354,0.786754357,1.354980711
